MeterCode,Serial,PlantCode,DateTime,Quality,Stream,DataType,Energy,Units
212621147,212621147,ED011300245,12/09/2018 5:00,A,B1,Import Wh Total,105.6,kwh
212621147,212621147,ED011300245,12/09/2018 5:30,A,B1,Import Wh Total,133.6,kwh
212621147,212621147,ED011300245,12/09/2018 6:00,A,B1,Import Wh Total,148.9,kwh
212621147,212621147,ED011300245,12/09/2018 6:30,A,B1,Import Wh Total,109.1,kwh
212621147,212621147,ED011300245,12/09/2018 7:00,A,B1,Import Wh Total,144.5,kwh
212621147,212621147,ED011300245,12/09/2018 7:30,A,B1,Import Wh Total,178,kwh
212621147,212621147,ED011300245,12/09/2018 8:00,A,B1,Import Wh Total,131.7,kwh
212621147,212621147,ED011300245,12/09/2018 8:30,A,B1,Import Wh Total,184.4,kwh
212621147,212621147,ED011300245,12/09/2018 9:00,A,B1,Import Wh Total,177.7,kwh
212621147,212621147,ED011300245,12/09/2018 9:30,A,B1,Import Wh Total,132.2,kwh
212621147,212621147,ED011300245,12/09/2018 10:00,A,B1,Import Wh Total,128.5,kwh
212621147,212621147,ED011300245,12/09/2018 10:30,A,B1,Import Wh Total,115,kwh
212621147,212621147,ED011300245,12/09/2018 11:00,A,B1,Import Wh Total,178.5,kwh
212621147,212621147,ED011300245,12/09/2018 11:30,A,B1,Import Wh Total,162.7,kwh
212621147,212621147,ED011300245,12/09/2018 12:00,A,B1,Import Wh Total,101.9,kwh
212621147,212621147,ED011300245,12/09/2018 12:30,A,B1,Import Wh Total,191.5,kwh
212621147,212621147,ED011300245,12/09/2018 13:00,A,B1,Import Wh Total,163.6,kwh
212621147,212621147,ED011300245,12/09/2018 13:30,A,B1,Import Wh Total,103.3,kwh
212621147,212621147,ED011300245,12/09/2018 14:00,A,B1,Import Wh Total,163.5,kwh
212621147,212621147,ED011300245,12/09/2018 14:30,A,B1,Import Wh Total,145.1,kwh
212621147,212621147,ED011300245,12/09/2018 15:00,A,B1,Import Wh Total,197,kwh
212621147,212621147,ED011300245,12/09/2018 15:30,A,B1,Import Wh Total,146.5,kwh
212621147,212621147,ED011300245,12/09/2018 16:00,A,B1,Import Wh Total,160.4,kwh
212621147,212621147,ED011300245,12/09/2018 16:30,A,B1,Import Wh Total,128.8,kwh
212621147,212621147,ED011300245,12/09/2018 17:00,A,B1,Import Wh Total,168.1,kwh
212621147,212621147,ED011300245,12/09/2018 17:30,A,B1,Import Wh Total,168.6,kwh
212621147,212621147,ED011300245,12/09/2018 18:00,A,B1,Import Wh Total,170.3,kwh
212621147,212621147,ED011300245,12/09/2018 18:30,A,B1,Import Wh Total,192.7,kwh
212621147,212621147,ED011300245,12/09/2018 19:00,A,B1,Import Wh Total,151.8,kwh
212621147,212621147,ED011300245,12/09/2018 19:30,A,B1,Import Wh Total,193.4,kwh
212621147,212621147,ED011300245,12/09/2018 20:00,A,B1,Import Wh Total,129.1,kwh
212621147,212621147,ED011300245,12/09/2018 20:30,A,B1,Import Wh Total,186.1,kwh
212621147,212621147,ED011300245,12/09/2018 21:00,A,B1,Import Wh Total,182.9,kwh
212621147,212621147,ED011300245,12/09/2018 21:30,A,B1,Import Wh Total,177.5,kwh
212621147,212621147,ED011300245,12/09/2018 22:00,A,B1,Import Wh Total,187.3,kwh
212621147,212621147,ED011300245,12/09/2018 22:30,A,B1,Import Wh Total,122.9,kwh
212621147,212621147,ED011300245,12/09/2018 23:00,A,B1,Import Wh Total,122.1,kwh
212621147,212621147,ED011300245,12/09/2018 23:30,A,B1,Import Wh Total,127.4,kwh
212621147,212621147,ED011300245,13/09/2018 0:00,A,B1,Import Wh Total,197.2,kwh
212621147,212621147,ED011300245,13/09/2018 0:30,A,B1,Import Wh Total,119.4,kwh
212621147,212621147,ED011300245,13/09/2018 1:00,A,B1,Import Wh Total,186,kwh
212621147,212621147,ED011300245,13/09/2018 1:30,A,B1,Import Wh Total,157.9,kwh
212621147,212621147,ED011300245,13/09/2018 2:00,A,B1,Import Wh Total,103.3,kwh
212621147,212621147,ED011300245,13/09/2018 2:30,A,B1,Import Wh Total,152.3,kwh
212621147,212621147,ED011300245,13/09/2018 3:00,A,B1,Import Wh Total,131.9,kwh
212621147,212621147,ED011300245,13/09/2018 3:30,A,B1,Import Wh Total,153.4,kwh
212621147,212621147,ED011300245,13/09/2018 4:00,A,B1,Import Wh Total,126.5,kwh
212621147,212621147,ED011300245,13/09/2018 4:30,A,B1,Import Wh Total,158.4,kwh
212621147,212621147,ED011300245,13/09/2018 5:00,A,B1,Import Wh Total,181.8,kwh
212621147,212621147,ED011300245,13/09/2018 5:30,A,B1,Import Wh Total,181.1,kwh
212621147,212621147,ED011300245,13/09/2018 6:00,A,B1,Import Wh Total,154.5,kwh
212621147,212621147,ED011300245,13/09/2018 6:30,A,B1,Import Wh Total,104.5,kwh
212621147,212621147,ED011300245,13/09/2018 7:00,A,B1,Import Wh Total,120.9,kwh
212621147,212621147,ED011300245,13/09/2018 7:30,A,B1,Import Wh Total,148.8,kwh
212621147,212621147,ED011300245,13/09/2018 8:00,A,B1,Import Wh Total,115.4,kwh
212621147,212621147,ED011300245,13/09/2018 8:30,A,B1,Import Wh Total,193.4,kwh
212621147,212621147,ED011300245,13/09/2018 9:00,A,B1,Import Wh Total,144.8,kwh
212621147,212621147,ED011300245,13/09/2018 9:30,A,B1,Import Wh Total,106.4,kwh
212621147,212621147,ED011300245,13/09/2018 10:00,A,B1,Import Wh Total,148.2,kwh
212621147,212621147,ED011300245,13/09/2018 10:30,A,B1,Import Wh Total,172.6,kwh
212621147,212621147,ED011300245,13/09/2018 11:00,A,B1,Import Wh Total,174.4,kwh
212621147,212621147,ED011300245,13/09/2018 11:30,A,B1,Import Wh Total,102.9,kwh
212621147,212621147,ED011300245,13/09/2018 12:00,A,B1,Import Wh Total,160.3,kwh
212621147,212621147,ED011300245,13/09/2018 12:30,A,B1,Import Wh Total,137.4,kwh
212621147,212621147,ED011300245,13/09/2018 13:00,A,B1,Import Wh Total,173.5,kwh
212621147,212621147,ED011300245,13/09/2018 13:30,A,B1,Import Wh Total,158.9,kwh
212621147,212621147,ED011300245,13/09/2018 14:00,A,B1,Import Wh Total,178.7,kwh
212621147,212621147,ED011300245,13/09/2018 14:30,A,B1,Import Wh Total,177.7,kwh
212621147,212621147,ED011300245,13/09/2018 15:00,A,B1,Import Wh Total,175.5,kwh
212621147,212621147,ED011300245,13/09/2018 15:30,A,B1,Import Wh Total,128.5,kwh
212621147,212621147,ED011300245,13/09/2018 16:00,A,B1,Import Wh Total,119.7,kwh
212621147,212621147,ED011300245,13/09/2018 16:30,A,B1,Import Wh Total,114,kwh
212621147,212621147,ED011300245,13/09/2018 17:00,A,B1,Import Wh Total,162.4,kwh
212621147,212621147,ED011300245,13/09/2018 17:30,A,B1,Import Wh Total,103.8,kwh
212621147,212621147,ED011300245,13/09/2018 18:00,A,B1,Import Wh Total,174.8,kwh
212621147,212621147,ED011300245,13/09/2018 18:30,A,B1,Import Wh Total,127.1,kwh
212621147,212621147,ED011300245,13/09/2018 19:00,A,B1,Import Wh Total,105.9,kwh
212621147,212621147,ED011300245,13/09/2018 19:30,A,B1,Import Wh Total,151.6,kwh
212621147,212621147,ED011300245,13/09/2018 20:00,A,B1,Import Wh Total,148.4,kwh
212621147,212621147,ED011300245,13/09/2018 20:30,A,B1,Import Wh Total,129.1,kwh
212621147,212621147,ED011300245,13/09/2018 21:00,A,B1,Import Wh Total,132.9,kwh
212621147,212621147,ED011300245,13/09/2018 21:30,A,B1,Import Wh Total,135.6,kwh
212621147,212621147,ED011300245,13/09/2018 22:00,A,B1,Import Wh Total,107.5,kwh
212621147,212621147,ED011300245,13/09/2018 22:30,A,B1,Import Wh Total,141.1,kwh
212621147,212621147,ED011300245,13/09/2018 23:00,A,B1,Import Wh Total,177.8,kwh
212621147,212621147,ED011300245,13/09/2018 23:30,A,B1,Import Wh Total,151.4,kwh
212621147,212621147,ED011300245,14/09/2018 0:00,A,B1,Import Wh Total,157.1,kwh
212621147,212621147,ED011300245,14/09/2018 0:30,A,B1,Import Wh Total,100.8,kwh
212621147,212621147,ED011300245,14/09/2018 1:00,A,B1,Import Wh Total,171.4,kwh
212621147,212621147,ED011300245,14/09/2018 1:30,A,B1,Import Wh Total,114.3,kwh
212621147,212621147,ED011300245,14/09/2018 2:00,A,B1,Import Wh Total,141.9,kwh
212621147,212621147,ED011300245,14/09/2018 2:30,A,B1,Import Wh Total,121.7,kwh
212621147,212621147,ED011300245,14/09/2018 3:00,A,B1,Import Wh Total,192.1,kwh
212621147,212621147,ED011300245,14/09/2018 3:30,A,B1,Import Wh Total,164,kwh
212621147,212621147,ED011300245,14/09/2018 4:00,A,B1,Import Wh Total,190,kwh
212621147,212621147,ED011300245,14/09/2018 4:30,A,B1,Import Wh Total,133.4,kwh
212621147,212621147,ED011300245,12/09/2018 5:00,A,K1,Import varh Total,140,kvarh
212621147,212621147,ED011300245,12/09/2018 5:30,A,K1,Import varh Total,166.2,kvarh
212621147,212621147,ED011300245,12/09/2018 6:00,A,K1,Import varh Total,151,kvarh
212621147,212621147,ED011300245,12/09/2018 6:30,A,K1,Import varh Total,111,kvarh
212621147,212621147,ED011300245,12/09/2018 7:00,A,K1,Import varh Total,170.7,kvarh
212621147,212621147,ED011300245,12/09/2018 7:30,A,K1,Import varh Total,182.4,kvarh
212621147,212621147,ED011300245,12/09/2018 8:00,A,K1,Import varh Total,116.8,kvarh
212621147,212621147,ED011300245,12/09/2018 8:30,A,K1,Import varh Total,106.8,kvarh
212621147,212621147,ED011300245,12/09/2018 9:00,A,K1,Import varh Total,100.3,kvarh
212621147,212621147,ED011300245,12/09/2018 9:30,A,K1,Import varh Total,110.5,kvarh
212621147,212621147,ED011300245,12/09/2018 10:00,A,K1,Import varh Total,106.7,kvarh
212621147,212621147,ED011300245,12/09/2018 10:30,A,K1,Import varh Total,190.4,kvarh
212621147,212621147,ED011300245,12/09/2018 11:00,A,K1,Import varh Total,168.5,kvarh
212621147,212621147,ED011300245,12/09/2018 11:30,A,K1,Import varh Total,154.1,kvarh
212621147,212621147,ED011300245,12/09/2018 12:00,A,K1,Import varh Total,117.8,kvarh
212621147,212621147,ED011300245,12/09/2018 12:30,A,K1,Import varh Total,118.1,kvarh
212621147,212621147,ED011300245,12/09/2018 13:00,A,K1,Import varh Total,102.4,kvarh
212621147,212621147,ED011300245,12/09/2018 13:30,A,K1,Import varh Total,112,kvarh
212621147,212621147,ED011300245,12/09/2018 14:00,A,K1,Import varh Total,185.1,kvarh
212621147,212621147,ED011300245,12/09/2018 14:30,A,K1,Import varh Total,158.2,kvarh
212621147,212621147,ED011300245,12/09/2018 15:00,A,K1,Import varh Total,163.2,kvarh
212621147,212621147,ED011300245,12/09/2018 15:30,A,K1,Import varh Total,196.3,kvarh
212621147,212621147,ED011300245,12/09/2018 16:00,A,K1,Import varh Total,114.2,kvarh
212621147,212621147,ED011300245,12/09/2018 16:30,A,K1,Import varh Total,122.6,kvarh
212621147,212621147,ED011300245,12/09/2018 17:00,A,K1,Import varh Total,135.6,kvarh
212621147,212621147,ED011300245,12/09/2018 17:30,A,K1,Import varh Total,141.9,kvarh
212621147,212621147,ED011300245,12/09/2018 18:00,A,K1,Import varh Total,132.1,kvarh
212621147,212621147,ED011300245,12/09/2018 18:30,A,K1,Import varh Total,123.4,kvarh
212621147,212621147,ED011300245,12/09/2018 19:00,A,K1,Import varh Total,145.5,kvarh
212621147,212621147,ED011300245,12/09/2018 19:30,A,K1,Import varh Total,172.4,kvarh
212621147,212621147,ED011300245,12/09/2018 20:00,A,K1,Import varh Total,196.5,kvarh
212621147,212621147,ED011300245,12/09/2018 20:30,A,K1,Import varh Total,162,kvarh
212621147,212621147,ED011300245,12/09/2018 21:00,A,K1,Import varh Total,124.1,kvarh
212621147,212621147,ED011300245,12/09/2018 21:30,A,K1,Import varh Total,198.4,kvarh
212621147,212621147,ED011300245,12/09/2018 22:00,A,K1,Import varh Total,163.5,kvarh
212621147,212621147,ED011300245,12/09/2018 22:30,A,K1,Import varh Total,103.3,kvarh
212621147,212621147,ED011300245,12/09/2018 23:00,A,K1,Import varh Total,191.9,kvarh
212621147,212621147,ED011300245,12/09/2018 23:30,A,K1,Import varh Total,172.3,kvarh
212621147,212621147,ED011300245,13/09/2018 0:00,A,K1,Import varh Total,176.8,kvarh
212621147,212621147,ED011300245,13/09/2018 0:30,A,K1,Import varh Total,195.9,kvarh
212621147,212621147,ED011300245,13/09/2018 1:00,A,K1,Import varh Total,190.6,kvarh
212621147,212621147,ED011300245,13/09/2018 1:30,A,K1,Import varh Total,140.9,kvarh
212621147,212621147,ED011300245,13/09/2018 2:00,A,K1,Import varh Total,145.7,kvarh
212621147,212621147,ED011300245,13/09/2018 2:30,A,K1,Import varh Total,154.4,kvarh
212621147,212621147,ED011300245,13/09/2018 3:00,A,K1,Import varh Total,179.5,kvarh
212621147,212621147,ED011300245,13/09/2018 3:30,A,K1,Import varh Total,197.1,kvarh
212621147,212621147,ED011300245,13/09/2018 4:00,A,K1,Import varh Total,128.8,kvarh
212621147,212621147,ED011300245,13/09/2018 4:30,A,K1,Import varh Total,121.9,kvarh
212621147,212621147,ED011300245,13/09/2018 5:00,A,K1,Import varh Total,132.7,kvarh
212621147,212621147,ED011300245,13/09/2018 5:30,A,K1,Import varh Total,136,kvarh
212621147,212621147,ED011300245,13/09/2018 6:00,A,K1,Import varh Total,176,kvarh
212621147,212621147,ED011300245,13/09/2018 6:30,A,K1,Import varh Total,132.1,kvarh
212621147,212621147,ED011300245,13/09/2018 7:00,A,K1,Import varh Total,164.1,kvarh
212621147,212621147,ED011300245,13/09/2018 7:30,A,K1,Import varh Total,121.6,kvarh
212621147,212621147,ED011300245,13/09/2018 8:00,A,K1,Import varh Total,110.7,kvarh
212621147,212621147,ED011300245,13/09/2018 8:30,A,K1,Import varh Total,133.9,kvarh
212621147,212621147,ED011300245,13/09/2018 9:00,A,K1,Import varh Total,173.7,kvarh
212621147,212621147,ED011300245,13/09/2018 9:30,A,K1,Import varh Total,116.4,kvarh
212621147,212621147,ED011300245,13/09/2018 10:00,A,K1,Import varh Total,167,kvarh
212621147,212621147,ED011300245,13/09/2018 10:30,A,K1,Import varh Total,107.1,kvarh
212621147,212621147,ED011300245,13/09/2018 11:00,A,K1,Import varh Total,112.1,kvarh
212621147,212621147,ED011300245,13/09/2018 11:30,A,K1,Import varh Total,104.6,kvarh
212621147,212621147,ED011300245,13/09/2018 12:00,A,K1,Import varh Total,142.8,kvarh
212621147,212621147,ED011300245,13/09/2018 12:30,A,K1,Import varh Total,110.1,kvarh
212621147,212621147,ED011300245,13/09/2018 13:00,A,K1,Import varh Total,103.1,kvarh
212621147,212621147,ED011300245,13/09/2018 13:30,A,K1,Import varh Total,132.8,kvarh
212621147,212621147,ED011300245,13/09/2018 14:00,A,K1,Import varh Total,177.8,kvarh
212621147,212621147,ED011300245,13/09/2018 14:30,A,K1,Import varh Total,149.6,kvarh
212621147,212621147,ED011300245,13/09/2018 15:00,A,K1,Import varh Total,147.6,kvarh
212621147,212621147,ED011300245,13/09/2018 15:30,A,K1,Import varh Total,141.8,kvarh
212621147,212621147,ED011300245,13/09/2018 16:00,A,K1,Import varh Total,164.9,kvarh
212621147,212621147,ED011300245,13/09/2018 16:30,A,K1,Import varh Total,139.5,kvarh
212621147,212621147,ED011300245,13/09/2018 17:00,A,K1,Import varh Total,115.4,kvarh
212621147,212621147,ED011300245,13/09/2018 17:30,A,K1,Import varh Total,174.7,kvarh
212621147,212621147,ED011300245,13/09/2018 18:00,A,K1,Import varh Total,148.6,kvarh
212621147,212621147,ED011300245,13/09/2018 18:30,A,K1,Import varh Total,177.4,kvarh
212621147,212621147,ED011300245,13/09/2018 19:00,A,K1,Import varh Total,161,kvarh
212621147,212621147,ED011300245,13/09/2018 19:30,A,K1,Import varh Total,159.2,kvarh
212621147,212621147,ED011300245,13/09/2018 20:00,A,K1,Import varh Total,163.3,kvarh
212621147,212621147,ED011300245,13/09/2018 20:30,A,K1,Import varh Total,127.6,kvarh
212621147,212621147,ED011300245,13/09/2018 21:00,A,K1,Import varh Total,101.9,kvarh
212621147,212621147,ED011300245,13/09/2018 21:30,A,K1,Import varh Total,135.6,kvarh
212621147,212621147,ED011300245,13/09/2018 22:00,A,K1,Import varh Total,118.9,kvarh
212621147,212621147,ED011300245,13/09/2018 22:30,A,K1,Import varh Total,158.8,kvarh
212621147,212621147,ED011300245,13/09/2018 23:00,A,K1,Import varh Total,173.5,kvarh
212621147,212621147,ED011300245,13/09/2018 23:30,A,K1,Import varh Total,148.2,kvarh
212621147,212621147,ED011300245,14/09/2018 0:00,A,K1,Import varh Total,124.6,kvarh
212621147,212621147,ED011300245,14/09/2018 0:30,A,K1,Import varh Total,168.4,kvarh
212621147,212621147,ED011300245,14/09/2018 1:00,A,K1,Import varh Total,148,kvarh
212621147,212621147,ED011300245,14/09/2018 1:30,A,K1,Import varh Total,179.4,kvarh
212621147,212621147,ED011300245,14/09/2018 2:00,A,K1,Import varh Total,122.5,kvarh
